code_departement,ville,libelle_liste,rang,genre,nom_prenom
972,Basse-Pointe,DYNAMIQUE POINTOISE,1,F,CASIMIRIUS Marie Thérèse
972,Basse-Pointe,DYNAMIQUE POINTOISE,2,M,LINVAL Jean-Jacques
972,Basse-Pointe,DYNAMIQUE POINTOISE,3,F,MONAR Marie Mickaëlle
972,Basse-Pointe,DYNAMIQUE POINTOISE,4,M,ADEQUIN Alan
972,Basse-Pointe,DYNAMIQUE POINTOISE,5,F,TONNEL Danielle
972,Basse-Pointe,DYNAMIQUE POINTOISE,6,M,TRUCA Philippe
972,Basse-Pointe,DYNAMIQUE POINTOISE,7,F,BREDAS Marie-Josée
972,Basse-Pointe,DYNAMIQUE POINTOISE,8,M,LEBIELLE Steve
972,Basse-Pointe,DYNAMIQUE POINTOISE,9,F,TECHY Marie-Claude
972,Basse-Pointe,DYNAMIQUE POINTOISE,10,M,MOUTAÏ Alain
972,Basse-Pointe,DYNAMIQUE POINTOISE,11,F,VALERIUS Suzie
972,Basse-Pointe,DYNAMIQUE POINTOISE,12,M,NESTORET Guillaume
972,Basse-Pointe,DYNAMIQUE POINTOISE,13,F,LOUIS Thérèse
972,Basse-Pointe,DYNAMIQUE POINTOISE,14,M,ALAMELU Félix
972,Basse-Pointe,DYNAMIQUE POINTOISE,15,F,TREPON Catherine
972,Basse-Pointe,DYNAMIQUE POINTOISE,16,M,LEBIELLE Phalière
972,Basse-Pointe,DYNAMIQUE POINTOISE,17,F,VITULIN Julie
972,Basse-Pointe,DYNAMIQUE POINTOISE,18,M,BUSSANT Frédéric
972,Basse-Pointe,DYNAMIQUE POINTOISE,19,F,BLAISE Denise
972,Basse-Pointe,DYNAMIQUE POINTOISE,20,M,BONVEL Claude
972,Basse-Pointe,DYNAMIQUE POINTOISE,21,F,HOPPELEY Anny
972,Basse-Pointe,DYNAMIQUE POINTOISE,22,M,AÏNAMA Georges
972,Basse-Pointe,DYNAMIQUE POINTOISE,23,F,MAREL Honorine
972,Basse-Pointe,DYNAMIQUE POINTOISE,24,M,DEMONIERE Grégory
972,Basse-Pointe,DYNAMIQUE POINTOISE,25,F,JEAN-ZEPHIRIN Paule
972,Basse-Pointe,SYNERGIE POINTOISE,1,M,CAPRON Kévin
972,Basse-Pointe,SYNERGIE POINTOISE,2,F,TONLI Viviane
972,Basse-Pointe,SYNERGIE POINTOISE,3,M,GEROFFROY Didier
972,Basse-Pointe,SYNERGIE POINTOISE,4,F,ZAMON Melinda
972,Basse-Pointe,SYNERGIE POINTOISE,5,M,GALVA Edouard
972,Basse-Pointe,SYNERGIE POINTOISE,6,F,EDJAM Céline
972,Basse-Pointe,SYNERGIE POINTOISE,7,M,SAINTE-ROSE Fabrice
