code_departement,ville,libelle_liste,rang,genre,nom_prenom
42,Aboën,Pour Aboën dans la continuité,1,M,JOUVE Christian
42,Aboën,Pour Aboën dans la continuité,2,F,ROUSSEL Cécile
42,Aboën,Pour Aboën dans la continuité,3,M,CATEYSSON Fernand
42,Aboën,Pour Aboën dans la continuité,4,F,ROCHE Audrey
42,Aboën,Pour Aboën dans la continuité,5,M,VILLE Vincent
42,Aboën,Pour Aboën dans la continuité,6,F,FLEURANCE Amandine
42,Aboën,Pour Aboën dans la continuité,7,M,VIOLON Damien
42,Aboën,Pour Aboën dans la continuité,8,F,BONNET Martine
42,Aboën,Pour Aboën dans la continuité,9,M,MICHAUD Jean-Claude
42,Aboën,Pour Aboën dans la continuité,10,F,OUSTRIE Anne
42,Aboën,Pour Aboën dans la continuité,11,M,MALLON André
42,Aboën,Pour Aboën dans la continuité,12,F,ROURE Maëva
42,Ailleux,LES LOUPS 2026,1,M,FONTENILLE Alban
42,Ailleux,LES LOUPS 2026,2,F,BRISET Coralie
42,Ailleux,LES LOUPS 2026,3,M,BESSY Julien
42,Ailleux,LES LOUPS 2026,4,F,LAURENCERY Emmanuelle
42,Ailleux,LES LOUPS 2026,5,M,CHAFFAL Jean Charles
42,Ailleux,LES LOUPS 2026,6,F,MASSACRIER Laurence
42,Ailleux,LES LOUPS 2026,7,M,LATUILE Jean-Michel
42,Ailleux,LES LOUPS 2026,8,F,MAZET Nathalie
42,Ailleux,LES LOUPS 2026,9,M,LEBERGE Mickaël
42,Ailleux,LES LOUPS 2026,10,F,SOLLALLIER Camille
42,Ailleux,LES LOUPS 2026,11,M,MOREL Celestin
42,Ambierle,"AMBIERLE AU COEUR,L'ESPRIT VILLAGE",1,M,PALAIS Yann
42,Ambierle,"AMBIERLE AU COEUR,L'ESPRIT VILLAGE",2,F,BENEY Claude
42,Ambierle,"AMBIERLE AU COEUR,L'ESPRIT VILLAGE",3,M,COLOMBAT Bernard
